,comunidad_autonoma,provincias,edad (3 grupos de edad),españoles/extranjeros,sexo,año,total
1475,Castilla y León,Segovia,65 y más,Extranjeros,Mujeres,2019,307
1476,Andalucía,Sevilla,0-15 años,Españoles,Hombres,2021,165644
1477,Andalucía,Sevilla,0-15 años,Españoles,Hombres,2020,168975
1478,Andalucía,Sevilla,0-15 años,Españoles,Hombres,2019,171561
1479,Andalucía,Sevilla,0-15 años,Españoles,Mujeres,2021,156142
1480,Andalucía,Sevilla,0-15 años,Españoles,Mujeres,2020,159568
1481,Andalucía,Sevilla,0-15 años,Españoles,Mujeres,2019,162100
1482,Andalucía,Sevilla,0-15 años,Extranjeros,Hombres,2021,5323
1483,Andalucía,Sevilla,0-15 años,Extranjeros,Hombres,2020,5397
1484,Andalucía,Sevilla,0-15 años,Extranjeros,Hombres,2019,4855
1485,Andalucía,Sevilla,0-15 años,Extranjeros,Mujeres,2021,5177
1486,Andalucía,Sevilla,0-15 años,Extranjeros,Mujeres,2020,5264
1487,Andalucía,Sevilla,0-15 años,Extranjeros,Mujeres,2019,4736
1488,Andalucía,Sevilla,16-64 años,Españoles,Hombres,2021,609628
1489,Andalucía,Sevilla,16-64 años,Españoles,Hombres,2020,610721
1490,Andalucía,Sevilla,16-64 años,Españoles,Hombres,2019,610696
1491,Andalucía,Sevilla,16-64 años,Españoles,Mujeres,2021,610730
1492,Andalucía,Sevilla,16-64 años,Españoles,Mujeres,2020,611500
1493,Andalucía,Sevilla,16-64 años,Españoles,Mujeres,2019,611468
1494,Andalucía,Sevilla,16-64 años,Extranjeros,Hombres,2021,29313
1495,Andalucía,Sevilla,16-64 años,Extranjeros,Hombres,2020,28753
1496,Andalucía,Sevilla,16-64 años,Extranjeros,Hombres,2019,26052
1497,Andalucía,Sevilla,16-64 años,Extranjeros,Mujeres,2021,34223
1498,Andalucía,Sevilla,16-64 años,Extranjeros,Mujeres,2020,33535
1499,Andalucía,Sevilla,16-64 años,Extranjeros,Mujeres,2019,30308
1500,Andalucía,Sevilla,65 y más,Españoles,Hombres,2021,139710
1501,Andalucía,Sevilla,65 y más,Españoles,Hombres,2020,137422
1502,Andalucía,Sevilla,65 y más,Españoles,Hombres,2019,134760
1503,Andalucía,Sevilla,65 y más,Españoles,Mujeres,2021,188472
1504,Andalucía,Sevilla,65 y más,Españoles,Mujeres,2020,185746
1505,Andalucía,Sevilla,65 y más,Españoles,Mujeres,2019,182917
1506,Andalucía,Sevilla,65 y más,Extranjeros,Hombres,2021,1465
1507,Andalucía,Sevilla,65 y más,Extranjeros,Hombres,2020,1427
1508,Andalucía,Sevilla,65 y más,Extranjeros,Hombres,2019,1288
1509,Andalucía,Sevilla,65 y más,Extranjeros,Mujeres,2021,2025
1510,Andalucía,Sevilla,65 y más,Extranjeros,Mujeres,2020,1911
1511,Andalucía,Sevilla,65 y más,Extranjeros,Mujeres,2019,1648
1512,Castilla y León,Soria,0-15 años,Españoles,Hombres,2021,5096
1513,Castilla y León,Soria,0-15 años,Españoles,Hombres,2020,5172
1514,Castilla y León,Soria,0-15 años,Españoles,Hombres,2019,5212
1515,Castilla y León,Soria,0-15 años,Españoles,Mujeres,2021,4791
1516,Castilla y León,Soria,0-15 años,Españoles,Mujeres,2020,4877
1517,Castilla y León,Soria,0-15 años,Españoles,Mujeres,2019,4999
1518,Castilla y León,Soria,0-15 años,Extranjeros,Hombres,2021,808
1519,Castilla y León,Soria,0-15 años,Extranjeros,Hombres,2020,755
1520,Castilla y León,Soria,0-15 años,Extranjeros,Hombres,2019,680
1521,Castilla y León,Soria,0-15 años,Extranjeros,Mujeres,2021,767
1522,Castilla y León,Soria,0-15 años,Extranjeros,Mujeres,2020,724
1523,Castilla y León,Soria,0-15 años,Extranjeros,Mujeres,2019,672
1524,Castilla y León,Soria,16-64 años,Españoles,Hombres,2021,25008
1525,Castilla y León,Soria,16-64 años,Españoles,Hombres,2020,25112
1526,Castilla y León,Soria,16-64 años,Españoles,Hombres,2019,25370
1527,Castilla y León,Soria,16-64 años,Españoles,Mujeres,2021,22895
1528,Castilla y León,Soria,16-64 años,Españoles,Mujeres,2020,22933
1529,Castilla y León,Soria,16-64 años,Españoles,Mujeres,2019,23062
1530,Castilla y León,Soria,16-64 años,Extranjeros,Hombres,2021,3658
1531,Castilla y León,Soria,16-64 años,Extranjeros,Hombres,2020,3427
1532,Castilla y León,Soria,16-64 años,Extranjeros,Hombres,2019,3135
1533,Castilla y León,Soria,16-64 años,Extranjeros,Mujeres,2021,3283
1534,Castilla y León,Soria,16-64 años,Extranjeros,Mujeres,2020,3149
1535,Castilla y León,Soria,16-64 años,Extranjeros,Mujeres,2019,2759
1536,Castilla y León,Soria,65 y más,Españoles,Hombres,2021,10247
1537,Castilla y León,Soria,65 y más,Españoles,Hombres,2020,10373
1538,Castilla y León,Soria,65 y más,Españoles,Hombres,2019,10335
1539,Castilla y León,Soria,65 y más,Españoles,Mujeres,2021,11953
1540,Castilla y León,Soria,65 y más,Españoles,Mujeres,2020,12146
1541,Castilla y León,Soria,65 y más,Españoles,Mujeres,2019,12220
1542,Castilla y León,Soria,65 y más,Extranjeros,Hombres,2021,103
1543,Castilla y León,Soria,65 y más,Extranjeros,Hombres,2020,88
1544,Castilla y León,Soria,65 y más,Extranjeros,Hombres,2019,82
1545,Castilla y León,Soria,65 y más,Extranjeros,Mujeres,2021,138
1546,Castilla y León,Soria,65 y más,Extranjeros,Mujeres,2020,128
1547,Castilla y León,Soria,65 y más,Extranjeros,Mujeres,2019,110
1548,Cataluña,Tarragona,0-15 años,Españoles,Hombres,2021,56970
1549,Cataluña,Tarragona,0-15 años,Españoles,Hombres,2020,57689
1550,Cataluña,Tarragona,0-15 años,Españoles,Hombres,2019,58183
1551,Cataluña,Tarragona,0-15 años,Españoles,Mujeres,2021,53276
1552,Cataluña,Tarragona,0-15 años,Españoles,Mujeres,2020,53973
1553,Cataluña,Tarragona,0-15 años,Españoles,Mujeres,2019,54461
1554,Cataluña,Tarragona,0-15 años,Extranjeros,Hombres,2021,12254
1555,Cataluña,Tarragona,0-15 años,Extranjeros,Hombres,2020,12450
1556,Cataluña,Tarragona,0-15 años,Extranjeros,Hombres,2019,11879
1557,Cataluña,Tarragona,0-15 años,Extranjeros,Mujeres,2021,11808
1558,Cataluña,Tarragona,0-15 años,Extranjeros,Mujeres,2020,11799
1559,Cataluña,Tarragona,0-15 años,Extranjeros,Mujeres,2019,11349
1560,Cataluña,Tarragona,16-64 años,Españoles,Hombres,2021,215246
1561,Cataluña,Tarragona,16-64 años,Españoles,Hombres,2020,213433
1562,Cataluña,Tarragona,16-64 años,Españoles,Hombres,2019,212518
1563,Cataluña,Tarragona,16-64 años,Españoles,Mujeres,2021,209209
1564,Cataluña,Tarragona,16-64 años,Españoles,Mujeres,2020,207450
1565,Cataluña,Tarragona,16-64 años,Españoles,Mujeres,2019,206995
1566,Cataluña,Tarragona,16-64 años,Extranjeros,Hombres,2021,54885
1567,Cataluña,Tarragona,16-64 años,Extranjeros,Hombres,2020,54707
1568,Cataluña,Tarragona,16-64 años,Extranjeros,Hombres,2019,50390
1569,Cataluña,Tarragona,16-64 años,Extranjeros,Mujeres,2021,50084
1570,Cataluña,Tarragona,16-64 años,Extranjeros,Mujeres,2020,49851
1571,Cataluña,Tarragona,16-64 años,Extranjeros,Mujeres,2019,46955
1572,Cataluña,Tarragona,65 y más,Españoles,Hombres,2021,67304
1573,Cataluña,Tarragona,65 y más,Españoles,Hombres,2020,66098
1574,Cataluña,Tarragona,65 y más,Españoles,Hombres,2019,64911
1575,Cataluña,Tarragona,65 y más,Españoles,Mujeres,2021,82819
1576,Cataluña,Tarragona,65 y más,Españoles,Mujeres,2020,81336
1577,Cataluña,Tarragona,65 y más,Españoles,Mujeres,2019,79828
1578,Cataluña,Tarragona,65 y más,Extranjeros,Hombres,2021,3997
1579,Cataluña,Tarragona,65 y más,Extranjeros,Hombres,2020,3765
1580,Cataluña,Tarragona,65 y más,Extranjeros,Hombres,2019,3377
1581,Cataluña,Tarragona,65 y más,Extranjeros,Mujeres,2021,4457
1582,Cataluña,Tarragona,65 y más,Extranjeros,Mujeres,2020,4221
1583,Cataluña,Tarragona,65 y más,Extranjeros,Mujeres,2019,3818
1584,Aragón,Teruel,0-15 años,Españoles,Hombres,2021,7921
1585,Aragón,Teruel,0-15 años,Españoles,Hombres,2020,7966
1586,Aragón,Teruel,0-15 años,Españoles,Hombres,2019,8064
1587,Aragón,Teruel,0-15 años,Españoles,Mujeres,2021,7608
1588,Aragón,Teruel,0-15 años,Españoles,Mujeres,2020,7628
1589,Aragón,Teruel,0-15 años,Españoles,Mujeres,2019,7705
1590,Aragón,Teruel,0-15 años,Extranjeros,Hombres,2021,1503
1591,Aragón,Teruel,0-15 años,Extranjeros,Hombres,2020,1473
1592,Aragón,Teruel,0-15 años,Extranjeros,Hombres,2019,1397
1593,Aragón,Teruel,0-15 años,Extranjeros,Mujeres,2021,1483
1594,Aragón,Teruel,0-15 años,Extranjeros,Mujeres,2020,1433
1595,Aragón,Teruel,0-15 años,Extranjeros,Mujeres,2019,1377
1596,Aragón,Teruel,16-64 años,Españoles,Hombres,2021,37885
1597,Aragón,Teruel,16-64 años,Españoles,Hombres,2020,37786
1598,Aragón,Teruel,16-64 años,Españoles,Hombres,2019,38046
1599,Aragón,Teruel,16-64 años,Españoles,Mujeres,2021,34312
1600,Aragón,Teruel,16-64 años,Españoles,Mujeres,2020,34320
1601,Aragón,Teruel,16-64 años,Españoles,Mujeres,2019,34531
1602,Aragón,Teruel,16-64 años,Extranjeros,Hombres,2021,6153
1603,Aragón,Teruel,16-64 años,Extranjeros,Hombres,2020,5948
1604,Aragón,Teruel,16-64 años,Extranjeros,Hombres,2019,5580
1605,Aragón,Teruel,16-64 años,Extranjeros,Mujeres,2021,5619
1606,Aragón,Teruel,16-64 años,Extranjeros,Mujeres,2020,5474
1607,Aragón,Teruel,16-64 años,Extranjeros,Mujeres,2019,5120
1608,Aragón,Teruel,65 y más,Españoles,Hombres,2021,14610
1609,Aragón,Teruel,65 y más,Españoles,Hombres,2020,14614
1610,Aragón,Teruel,65 y más,Españoles,Hombres,2019,14679
1611,Aragón,Teruel,65 y más,Españoles,Mujeres,2021,16970
1612,Aragón,Teruel,65 y más,Españoles,Mujeres,2020,17106
1613,Aragón,Teruel,65 y más,Españoles,Mujeres,2019,17267
1614,Aragón,Teruel,65 y más,Extranjeros,Hombres,2021,215
1615,Aragón,Teruel,65 y más,Extranjeros,Hombres,2020,188
1616,Aragón,Teruel,65 y más,Extranjeros,Hombres,2019,161
1617,Aragón,Teruel,65 y más,Extranjeros,Mujeres,2021,266
1618,Aragón,Teruel,65 y más,Extranjeros,Mujeres,2020,240
1619,Aragón,Teruel,65 y más,Extranjeros,Mujeres,2019,210
1620,Castilla-La Mancha,Toledo,0-15 años,Españoles,Hombres,2021,54801
1621,Castilla-La Mancha,Toledo,0-15 años,Españoles,Hombres,2020,55229
1622,Castilla-La Mancha,Toledo,0-15 años,Españoles,Hombres,2019,55482
1623,Castilla-La Mancha,Toledo,0-15 años,Españoles,Mujeres,2021,51450
1624,Castilla-La Mancha,Toledo,0-15 años,Españoles,Mujeres,2020,51833
1625,Castilla-La Mancha,Toledo,0-15 años,Españoles,Mujeres,2019,52258
1626,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Hombres,2021,7106
1627,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Hombres,2020,7064
1628,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Hombres,2019,6474
1629,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Mujeres,2021,6909
1630,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Mujeres,2020,6941
1631,Castilla-La Mancha,Toledo,0-15 años,Extranjeros,Mujeres,2019,6358
1632,Castilla-La Mancha,Toledo,16-64 años,Españoles,Hombres,2021,208828
1633,Castilla-La Mancha,Toledo,16-64 años,Españoles,Hombres,2020,206365
1634,Castilla-La Mancha,Toledo,16-64 años,Españoles,Hombres,2019,205858
1635,Castilla-La Mancha,Toledo,16-64 años,Españoles,Mujeres,2021,196950
1636,Castilla-La Mancha,Toledo,16-64 años,Españoles,Mujeres,2020,194436
1637,Castilla-La Mancha,Toledo,16-64 años,Españoles,Mujeres,2019,193650
1638,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Hombres,2021,28317
1639,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Hombres,2020,27905
1640,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Hombres,2019,25329
1641,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Mujeres,2021,28052
1642,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Mujeres,2020,27657
1643,Castilla-La Mancha,Toledo,16-64 años,Extranjeros,Mujeres,2019,25059
1644,Castilla-La Mancha,Toledo,65 y más,Españoles,Hombres,2021,56369
1645,Castilla-La Mancha,Toledo,65 y más,Españoles,Hombres,2020,56065
1646,Castilla-La Mancha,Toledo,65 y más,Españoles,Hombres,2019,55165
1647,Castilla-La Mancha,Toledo,65 y más,Españoles,Mujeres,2021,68005
1648,Castilla-La Mancha,Toledo,65 y más,Españoles,Mujeres,2020,67877
1649,Castilla-La Mancha,Toledo,65 y más,Españoles,Mujeres,2019,67205
1650,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Hombres,2021,997
1651,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Hombres,2020,920
1652,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Hombres,2019,782
1653,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Mujeres,2021,1619
1654,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Mujeres,2020,1480
1655,Castilla-La Mancha,Toledo,65 y más,Extranjeros,Mujeres,2019,1224
1656,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Hombres,2021,179771
1657,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Hombres,2020,183995
1658,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Hombres,2019,186796
1659,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Mujeres,2021,170230
1660,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Mujeres,2020,174142
1661,Comunidad Valenciana,Valencia/València,0-15 años,Españoles,Mujeres,2019,177232
1662,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Hombres,2021,23960
1663,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Hombres,2020,24119
1664,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Hombres,2019,22277
1665,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Mujeres,2021,21891
1666,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Mujeres,2020,22057
1667,Comunidad Valenciana,Valencia/València,0-15 años,Extranjeros,Mujeres,2019,20301
1668,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Hombres,2021,735588
1669,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Hombres,2020,736065
1670,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Hombres,2019,735690
1671,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Mujeres,2021,728512
1672,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Mujeres,2020,729128
1673,Comunidad Valenciana,Valencia/València,16-64 años,Españoles,Mujeres,2019,728886
1674,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Hombres,2021,113864
1675,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Hombres,2020,113872
1676,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Hombres,2019,104223
1677,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Mujeres,2021,113251
1678,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Mujeres,2020,113059
1679,Comunidad Valenciana,Valencia/València,16-64 años,Extranjeros,Mujeres,2019,103610
1680,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Hombres,2021,207496
1681,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Hombres,2020,204465
1682,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Hombres,2019,201263
1683,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Mujeres,2021,278667
1684,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Mujeres,2020,275559
1685,Comunidad Valenciana,Valencia/València,65 y más,Españoles,Mujeres,2019,271409
1686,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Hombres,2021,7282
1687,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Hombres,2020,6950
1688,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Hombres,2019,6101
1689,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Mujeres,2021,8800
1690,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Mujeres,2020,8464
1691,Comunidad Valenciana,Valencia/València,65 y más,Extranjeros,Mujeres,2019,7336
1692,Castilla y León,Valladolid,0-15 años,Españoles,Hombres,2021,34084
1693,Castilla y León,Valladolid,0-15 años,Españoles,Hombres,2020,34841
1694,Castilla y León,Valladolid,0-15 años,Españoles,Hombres,2019,35525
1695,Castilla y León,Valladolid,0-15 años,Españoles,Mujeres,2021,32417
1696,Castilla y León,Valladolid,0-15 años,Españoles,Mujeres,2020,33085
1697,Castilla y León,Valladolid,0-15 años,Españoles,Mujeres,2019,33721
1698,Castilla y León,Valladolid,0-15 años,Extranjeros,Hombres,2021,2424
1699,Castilla y León,Valladolid,0-15 años,Extranjeros,Hombres,2020,2309
1700,Castilla y León,Valladolid,0-15 años,Extranjeros,Hombres,2019,2141
1701,Castilla y León,Valladolid,0-15 años,Extranjeros,Mujeres,2021,2379
1702,Castilla y León,Valladolid,0-15 años,Extranjeros,Mujeres,2020,2271
1703,Castilla y León,Valladolid,0-15 años,Extranjeros,Mujeres,2019,2034
1704,Castilla y León,Valladolid,16-64 años,Españoles,Hombres,2021,151311
1705,Castilla y León,Valladolid,16-64 años,Españoles,Hombres,2020,152421
1706,Castilla y León,Valladolid,16-64 años,Españoles,Hombres,2019,153472
1707,Castilla y León,Valladolid,16-64 años,Españoles,Mujeres,2021,151343
1708,Castilla y León,Valladolid,16-64 años,Españoles,Mujeres,2020,152535
1709,Castilla y León,Valladolid,16-64 años,Españoles,Mujeres,2019,153661
1710,Castilla y León,Valladolid,16-64 años,Extranjeros,Hombres,2021,11158
1711,Castilla y León,Valladolid,16-64 años,Extranjeros,Hombres,2020,10644
1712,Castilla y León,Valladolid,16-64 años,Extranjeros,Hombres,2019,9710
1713,Castilla y León,Valladolid,16-64 años,Extranjeros,Mujeres,2021,11835
1714,Castilla y León,Valladolid,16-64 años,Extranjeros,Mujeres,2020,11137
1715,Castilla y León,Valladolid,16-64 años,Extranjeros,Mujeres,2019,10098
1716,Castilla y León,Valladolid,65 y más,Españoles,Hombres,2021,53412
1717,Castilla y León,Valladolid,65 y más,Españoles,Hombres,2020,52915
1718,Castilla y León,Valladolid,65 y más,Españoles,Hombres,2019,52018
1719,Castilla y León,Valladolid,65 y más,Españoles,Mujeres,2021,67934
1720,Castilla y León,Valladolid,65 y más,Españoles,Mujeres,2020,67530
1721,Castilla y León,Valladolid,65 y más,Españoles,Mujeres,2019,66366
1722,Castilla y León,Valladolid,65 y más,Extranjeros,Hombres,2021,454
1723,Castilla y León,Valladolid,65 y más,Extranjeros,Hombres,2020,410
1724,Castilla y León,Valladolid,65 y más,Extranjeros,Hombres,2019,350
1725,Castilla y León,Valladolid,65 y más,Extranjeros,Mujeres,2021,610
1726,Castilla y León,Valladolid,65 y más,Extranjeros,Mujeres,2020,551
1727,Castilla y León,Valladolid,65 y más,Extranjeros,Mujeres,2019,450
1728,Castilla y León,Zamora,0-15 años,Españoles,Hombres,2021,8129
1729,Castilla y León,Zamora,0-15 años,Españoles,Hombres,2020,8285
1730,Castilla y León,Zamora,0-15 años,Españoles,Hombres,2019,8461
1731,Castilla y León,Zamora,0-15 años,Españoles,Mujeres,2021,7583
1732,Castilla y León,Zamora,0-15 años,Españoles,Mujeres,2020,7806
1733,Castilla y León,Zamora,0-15 años,Españoles,Mujeres,2019,8036
1734,Castilla y León,Zamora,0-15 años,Extranjeros,Hombres,2021,529
1735,Castilla y León,Zamora,0-15 años,Extranjeros,Hombres,2020,515
1736,Castilla y León,Zamora,0-15 años,Extranjeros,Hombres,2019,478
1737,Castilla y León,Zamora,0-15 años,Extranjeros,Mujeres,2021,428
1738,Castilla y León,Zamora,0-15 años,Extranjeros,Mujeres,2020,442
1739,Castilla y León,Zamora,0-15 años,Extranjeros,Mujeres,2019,410
1740,Castilla y León,Zamora,16-64 años,Españoles,Hombres,2021,48849
1741,Castilla y León,Zamora,16-64 años,Españoles,Hombres,2020,49542
1742,Castilla y León,Zamora,16-64 años,Españoles,Hombres,2019,50453
1743,Castilla y León,Zamora,16-64 años,Españoles,Mujeres,2021,45638
1744,Castilla y León,Zamora,16-64 años,Españoles,Mujeres,2020,46147
1745,Castilla y León,Zamora,16-64 años,Españoles,Mujeres,2019,46896
1746,Castilla y León,Zamora,16-64 años,Extranjeros,Hombres,2021,2305
1747,Castilla y León,Zamora,16-64 años,Extranjeros,Hombres,2020,2242
1748,Castilla y León,Zamora,16-64 años,Extranjeros,Hombres,2019,2192
1749,Castilla y León,Zamora,16-64 años,Extranjeros,Mujeres,2021,2610
1750,Castilla y León,Zamora,16-64 años,Extranjeros,Mujeres,2020,2559
1751,Castilla y León,Zamora,16-64 años,Extranjeros,Mujeres,2019,2409
1752,Castilla y León,Zamora,65 y más,Españoles,Hombres,2021,23583
1753,Castilla y León,Zamora,65 y más,Españoles,Hombres,2020,23640
1754,Castilla y León,Zamora,65 y más,Españoles,Hombres,2019,23629
1755,Castilla y León,Zamora,65 y más,Españoles,Mujeres,2021,28697
1756,Castilla y León,Zamora,65 y más,Españoles,Mujeres,2020,29071
1757,Castilla y León,Zamora,65 y más,Españoles,Mujeres,2019,29282
1758,Castilla y León,Zamora,65 y más,Extranjeros,Hombres,2021,156
1759,Castilla y León,Zamora,65 y más,Extranjeros,Hombres,2020,145
1760,Castilla y León,Zamora,65 y más,Extranjeros,Hombres,2019,128
1761,Castilla y León,Zamora,65 y más,Extranjeros,Mujeres,2021,218
1762,Castilla y León,Zamora,65 y más,Extranjeros,Mujeres,2020,194
1763,Castilla y León,Zamora,65 y más,Extranjeros,Mujeres,2019,165
1764,Aragón,Zaragoza,0-15 años,Españoles,Hombres,2021,63663
1765,Aragón,Zaragoza,0-15 años,Españoles,Hombres,2020,64843
1766,Aragón,Zaragoza,0-15 años,Españoles,Hombres,2019,65802
1767,Aragón,Zaragoza,0-15 años,Españoles,Mujeres,2021,59890
1768,Aragón,Zaragoza,0-15 años,Españoles,Mujeres,2020,61114
1769,Aragón,Zaragoza,0-15 años,Españoles,Mujeres,2019,62064
1770,Aragón,Zaragoza,0-15 años,Extranjeros,Hombres,2021,10222
1771,Aragón,Zaragoza,0-15 años,Extranjeros,Hombres,2020,10280
1772,Aragón,Zaragoza,0-15 años,Extranjeros,Hombres,2019,9681
1773,Aragón,Zaragoza,0-15 años,Extranjeros,Mujeres,2021,9663
1774,Aragón,Zaragoza,0-15 años,Extranjeros,Mujeres,2020,9718
1775,Aragón,Zaragoza,0-15 años,Extranjeros,Mujeres,2019,9112
1776,Aragón,Zaragoza,16-64 años,Españoles,Hombres,2021,262950
1777,Aragón,Zaragoza,16-64 años,Españoles,Hombres,2020,264195
1778,Aragón,Zaragoza,16-64 años,Españoles,Hombres,2019,264922
1779,Aragón,Zaragoza,16-64 años,Españoles,Mujeres,2021,259156
1780,Aragón,Zaragoza,16-64 años,Españoles,Mujeres,2020,259882
1781,Aragón,Zaragoza,16-64 años,Españoles,Mujeres,2019,260723
1782,Aragón,Zaragoza,16-64 años,Extranjeros,Hombres,2021,47799
1783,Aragón,Zaragoza,16-64 años,Extranjeros,Hombres,2020,48081
1784,Aragón,Zaragoza,16-64 años,Extranjeros,Hombres,2019,44157
1785,Aragón,Zaragoza,16-64 años,Extranjeros,Mujeres,2021,46863
1786,Aragón,Zaragoza,16-64 años,Extranjeros,Mujeres,2020,47857
1787,Aragón,Zaragoza,16-64 años,Extranjeros,Mujeres,2019,44447
1788,Aragón,Zaragoza,65 y más,Españoles,Hombres,2021,87204
1789,Aragón,Zaragoza,65 y más,Españoles,Hombres,2020,86793
1790,Aragón,Zaragoza,65 y más,Españoles,Hombres,2019,85803
1791,Aragón,Zaragoza,65 y más,Españoles,Mujeres,2021,116303
1792,Aragón,Zaragoza,65 y más,Españoles,Mujeres,2020,116234
1793,Aragón,Zaragoza,65 y más,Españoles,Mujeres,2019,115001
1794,Aragón,Zaragoza,65 y más,Extranjeros,Hombres,2021,1516
1795,Aragón,Zaragoza,65 y más,Extranjeros,Hombres,2020,1410
1796,Aragón,Zaragoza,65 y más,Extranjeros,Hombres,2019,1174
1797,Aragón,Zaragoza,65 y más,Extranjeros,Mujeres,2021,2223
1798,Aragón,Zaragoza,65 y más,Extranjeros,Mujeres,2020,2121
1799,Aragón,Zaragoza,65 y más,Extranjeros,Mujeres,2019,1807
1800,Ceuta,Ceuta,0-15 años,Españoles,Hombres,2021,8428
1801,Ceuta,Ceuta,0-15 años,Españoles,Hombres,2020,8762
1802,Ceuta,Ceuta,0-15 años,Españoles,Hombres,2019,8974
1803,Ceuta,Ceuta,0-15 años,Españoles,Mujeres,2021,8152
1804,Ceuta,Ceuta,0-15 años,Españoles,Mujeres,2020,8445
1805,Ceuta,Ceuta,0-15 años,Españoles,Mujeres,2019,8614
1806,Ceuta,Ceuta,0-15 años,Extranjeros,Hombres,2021,381
1807,Ceuta,Ceuta,0-15 años,Extranjeros,Hombres,2020,442
1808,Ceuta,Ceuta,0-15 años,Extranjeros,Hombres,2019,510
1809,Ceuta,Ceuta,0-15 años,Extranjeros,Mujeres,2021,346
1810,Ceuta,Ceuta,0-15 años,Extranjeros,Mujeres,2020,395
1811,Ceuta,Ceuta,0-15 años,Extranjeros,Mujeres,2019,446
1812,Ceuta,Ceuta,16-64 años,Españoles,Hombres,2021,26687
1813,Ceuta,Ceuta,16-64 años,Españoles,Hombres,2020,26585
1814,Ceuta,Ceuta,16-64 años,Españoles,Hombres,2019,26807
1815,Ceuta,Ceuta,16-64 años,Españoles,Mujeres,2021,24886
1816,Ceuta,Ceuta,16-64 años,Españoles,Mujeres,2020,24883
1817,Ceuta,Ceuta,16-64 años,Españoles,Mujeres,2019,24972
1818,Ceuta,Ceuta,16-64 años,Extranjeros,Hombres,2021,2066
1819,Ceuta,Ceuta,16-64 años,Extranjeros,Hombres,2020,2222
1820,Ceuta,Ceuta,16-64 años,Extranjeros,Hombres,2019,2216
1821,Ceuta,Ceuta,16-64 años,Extranjeros,Mujeres,2021,2259
1822,Ceuta,Ceuta,16-64 años,Extranjeros,Mujeres,2020,2324
1823,Ceuta,Ceuta,16-64 años,Extranjeros,Mujeres,2019,2309
1824,Ceuta,Ceuta,65 y más,Españoles,Hombres,2021,4494
1825,Ceuta,Ceuta,65 y más,Españoles,Hombres,2020,4373
1826,Ceuta,Ceuta,65 y más,Españoles,Hombres,2019,4247
1827,Ceuta,Ceuta,65 y más,Españoles,Mujeres,2021,5503
1828,Ceuta,Ceuta,65 y más,Españoles,Mujeres,2020,5449
1829,Ceuta,Ceuta,65 y más,Españoles,Mujeres,2019,5371
1830,Ceuta,Ceuta,65 y más,Extranjeros,Hombres,2021,152
1831,Ceuta,Ceuta,65 y más,Extranjeros,Hombres,2020,158
1832,Ceuta,Ceuta,65 y más,Extranjeros,Hombres,2019,158
1833,Ceuta,Ceuta,65 y más,Extranjeros,Mujeres,2021,163
