,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
151,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2020,35.6
152,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2019,40.8
153,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2021,27.8
154,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2020,26.6
155,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2019,28.5
156,País Vasco,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2021,20.0
157,País Vasco,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2020,20.3
158,País Vasco,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2019,21.2
159,País Vasco,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2021,18.8
160,País Vasco,Araba/Álava,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2020,18.1
